,Vernier,Cam,L,Lambda,Lp,Ld,Time
124,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.36302947998046875
125,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.3590664863586426
126,-0.0,0.7074617333051691,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6750058210114238,0.35904526710510254
127,-0.0,0.5780740701369371,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.665883427918705,0.36003804206848145
128,-0.0,0.6413413145391577,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6525452069723772,0.3600335121154785
129,-0.0,0.7248495792798489,1.6410509666240813,1.2996109450322775,1.6088304915777774,1.6603696680200613,0.35903263092041016
130,-0.0,0.5687714546807116,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.673814385027647,0.36104393005371094
131,-0.0,0.7822891377036912,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6537217391861345,0.36003780364990234
132,-0.0,0.6333091234070878,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6603696680200613,0.3610389232635498
133,-0.0,0.5958370882967651,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6525452069723772,0.36100101470947266
134,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.36006975173950195
135,-0.0,0.6233512717363979,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.665883427918705,0.36003565788269043
136,-0.0,0.5958370882967651,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6525452069723772,0.36003684997558594
137,-0.0,0.6333091234070878,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6603696680200613,0.36100339889526367
138,-0.0,0.6882935188300277,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6537217391861345,0.3610355854034424
139,-0.0,0.7459330615763433,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6806122844992195,0.36305880546569824
140,-0.0,0.6876930391968838,1.6410509666240813,1.2996109450322775,1.6099272298210805,1.6537217391861345,0.3600432872772217
141,-0.0,0.7807815915002909,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6537217391861345,0.3620293140411377
